nzsegment,HydSeq,SubcatchmentID,Land_Area_ha,Type1_GW_Area_ha,Type1_GW_Percent,Type2_SW_Area_ha,Type2_SW_Percent,Combined_Area_ha,Combined_Percent
1009647,9454,0,0.04,3.43,8087.61,1.12,2640.85,3.59,8464.87
1009699,9479,3,0.59,3.54,597.47,1.91,322.36,4.68,789.87
1009698,9480,2,122.9,0.16,0.13,1.52,1.24,1.52,1.24
1009728,9526,5,24.03,4.98,20.72,0.25,1.04,5.12,21.31
1009665,9527,1,0.0,3.52,0.0,0.86,0.0,3.96,0.0
1009752,9528,6,69.27,0.0,0.0,0.0,0.0,0.0,0.0
1009710,9610,4,58.36,0.0,0.0,0.27,0.46,0.27,0.46
1009808,9675,8,41.82,0.0,0.0,0.0,0.0,0.0,0.0
1009804,9676,7,38.85,0.0,0.0,0.0,0.0,0.0,0.0
1009832,9677,9,34.08,0.0,0.0,0.07,0.21,0.07,0.21
1009885,9905,11,93.88,0.0,0.0,0.0,0.0,0.0,0.0
1010106,9923,12,2.96,0.0,0.0,1.03,34.74,1.03,34.74
1010140,9960,16,0.0,2.96,0.0,0.4,0.0,3.35,0.0
1010139,9961,15,9.43,12.75,135.2,8.6,91.19,16.96,179.84
1010121,9962,14,24.37,0.0,0.0,0.0,0.0,0.0,0.0
1010120,9963,13,21.22,0.0,0.0,0.0,0.0,0.0,0.0
1009840,10134,10,6.53,0.21,3.21,0.81,12.4,0.87,13.32
1010344,10142,26,38.56,0.72,1.87,0.2,0.52,0.92,2.39
1010301,10173,23,36.24,7.08,19.54,9.26,25.55,9.26,25.55
1010288,10178,20,110.23,3.69,3.35,12.63,11.46,13.42,12.17
1010404,10182,36,54.74,0.09,0.16,0.01,0.02,0.09,0.16
1010423,10241,38,0.0,0.3,0.0,0.0,0.0,0.3,0.0
1010366,10263,30,15.56,0.0,0.0,0.0,0.0,0.0,0.0
1010388,10275,34,1.0,2.56,256.0,4.77,477.0,4.84,484.0
1010548,10318,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010556,10368,45,0.0,0.96,0.0,0.12,0.0,0.98,0.0
1010387,10369,33,0.0,1.53,0.0,4.6,0.0,4.72,0.0
1010306,10370,24,73.85,0.0,0.0,0.17,0.23,0.17,0.23
1010300,10371,22,52.06,0.0,0.0,0.0,0.0,0.0,0.0
1010461,10402,40,50.17,15.75,31.39,0.31,0.62,15.86,31.61
1010462,10414,41,30.27,14.2,46.92,0.99,3.27,14.86,49.1
1010398,10415,35,15.89,0.09,0.57,0.02,0.13,0.1,0.63
1010367,10416,31,21.07,0.41,1.95,0.03,0.14,0.43,2.04
1010219,10417,18,0.0,11.44,0.0,16.79,0.0,17.86,0.0
1010218,10418,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010287,10419,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010299,10420,21,51.34,0.0,0.0,0.0,0.0,0.0,0.0
1010326,10421,25,7.63,0.0,0.0,0.0,0.0,0.0,0.0
1010350,10422,27,0.49,0.0,0.0,0.0,0.0,0.0,0.0
1010474,10429,42,0.5,0.04,7.92,0.0,0.0,0.04,7.92
1010660,10449,46,0.49,0.14,28.71,0.09,18.46,0.23,47.16
1010848,10614,49,0.8,0.0,0.0,0.71,88.43,0.71,88.43
1010847,10694,48,0.05,0.0,0.0,0.04,77.11,0.04,77.11
1010665,10695,47,0.84,0.0,0.0,1.03,122.99,1.03,122.99
1010490,10696,43,98.51,0.94,0.95,0.0,0.0,0.94,0.95
1010424,10697,39,33.72,0.0,0.0,0.0,0.0,0.0,0.0
1010371,10698,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010360,10699,29,24.61,0.0,0.0,0.0,0.0,0.0,0.0
1010359,10700,28,0.0,0.0,0.0,0.14,0.0,0.14,0.0
1010422,10701,37,0.41,0.0,0.0,0.0,0.0,0.0,0.0
