SubcatchmentID,Subcatchment_Area_ha,Type1_GW_Area_ha,Type1_GW_Percent,Type2_SW_Area_ha,Type2_SW_Percent,Combined_Area_ha,Combined_Percent
0,41.72,3.43,8.22,1.12,2.68,3.59,8.6
1,46.04,3.52,7.64,0.86,1.88,3.96,8.61
2,261.39,0.16,0.06,1.52,0.58,1.52,0.58
3,25.45,3.54,13.9,1.91,7.52,4.68,18.39
4,62.49,0.0,0.0,0.27,0.42,0.27,0.42
5,31.83,4.98,15.63,0.25,0.8,5.12,16.09
6,15.65,0.0,0.0,0.0,0.0,0.0,0.0
7,23.56,0.0,0.0,0.0,0.0,0.0,0.0
8,32.55,0.0,0.0,0.0,0.0,0.0,0.0
9,222.37,0.0,0.0,0.07,0.03,0.07,0.03
10,220.92,0.21,0.1,0.81,0.37,0.87,0.39
11,30.39,0.0,0.0,0.0,0.0,0.0,0.0
12,33.72,0.0,0.0,1.03,3.06,1.03,3.06
13,33.36,0.0,0.0,0.0,0.0,0.0,0.0
14,194.13,0.0,0.0,0.0,0.0,0.0,0.0
15,166.26,12.75,7.67,8.6,5.17,16.96,10.2
16,36.96,2.96,8.0,0.4,1.09,3.35,9.06
17,16.27,0.0,0.0,0.0,0.0,0.0,0.0
18,182.89,11.44,6.25,16.79,9.18,17.86,9.76
19,1.26,0.0,0.0,0.0,0.0,0.0,0.0
20,140.18,3.69,2.63,12.63,9.01,13.42,9.57
21,2.7,0.0,0.0,0.0,0.0,0.0,0.0
22,81.11,0.0,0.0,0.0,0.0,0.0,0.0
23,42.53,7.08,16.65,9.26,21.77,9.26,21.77
24,13.4,0.0,0.0,0.17,1.3,0.17,1.3
25,3.33,0.0,0.0,0.0,0.0,0.0,0.0
26,58.36,0.72,1.23,0.2,0.34,0.92,1.57
27,0.63,0.0,0.0,0.0,0.0,0.0,0.0
28,31.11,0.0,0.0,0.14,0.44,0.14,0.44
29,2.25,0.0,0.0,0.0,0.0,0.0,0.0
30,162.3,0.0,0.0,0.0,0.0,0.0,0.0
31,24.37,0.41,1.68,0.03,0.13,0.43,1.74
32,6.65,0.0,0.0,0.0,0.0,0.0,0.0
33,28.41,1.53,5.39,4.6,16.19,4.72,16.62
34,44.51,2.56,5.75,4.77,10.72,4.84,10.87
35,21.22,0.09,0.42,0.02,0.08,0.1,0.49
36,22.21,0.09,0.42,0.01,0.04,0.09,0.42
37,15.56,0.0,0.0,0.0,0.0,0.0,0.0
38,40.37,0.3,0.75,0.0,0.0,0.3,0.75
39,19.15,0.0,0.0,0.0,0.0,0.0,0.0
40,93.88,15.75,16.78,0.31,0.33,15.86,16.9
41,115.28,14.2,12.31,0.99,0.86,14.86,12.89
42,154.48,0.04,0.03,0.0,0.0,0.04,0.03
43,101.07,0.94,0.93,0.0,0.0,0.94,0.93
44,25.45,0.0,0.0,0.0,0.0,0.0,0.0
45,34.08,0.96,2.81,0.12,0.34,0.98,2.88
46,51.34,0.14,0.27,0.09,0.18,0.23,0.45
47,36.24,0.0,0.0,1.03,2.84,1.03,2.84
48,49.9,0.0,0.0,0.04,0.09,0.04,0.09
49,52.06,0.0,0.0,0.71,1.36,0.71,1.36
